created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,place,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls
Wed Mar 08 03:10:58 +0000 2023,1633304273009229824,1633304273009229824,"@TimHowardGK was exactly right when speaking on US Soccer &amp; the youth system here in the States. The high school system, which used to flourish, has been obsolete since the “academy” push. The worst thing about “soccer” in this country is the arrogance associated, baffling tbh",False,"[0, 281]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,2511477648.0,2511477648,TimHowardGK,,,,False,0,0,False,False,en,en,recent,1093270198809956355,1093270198809956355,ᴶᵁᵛᴱᴺᵀᵁˢ ᴰᶜ 🤌🏽,dc_juventus,2444 Wisconsin Ave NW DC 20007,GK coach 🧤Juventus DC Metro Academy #FinoAllaFine 🖤🤍 #ForzaAzzurri 🇮🇹 #Buffon 🐐 #LaJoya💎,https://t.co/AznkderSNk,"[{'url': 'https://t.co/AznkderSNk', 'expanded_url': 'http://www.mariosdc.com', 'display_url': 'mariosdc.com', 'indices': [0, 23]}]",[],False,268,795,3,Wed Feb 06 22:08:22 +0000 2019,3983,,,True,False,5531,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1623053378719719425/X6nFb3nr_normal.jpg,https://pbs.twimg.com/profile_images/1623053378719719425/X6nFb3nr_normal.jpg,https://pbs.twimg.com/profile_banners/1093270198809956355/1660102190,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,[],01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",1.6333042730092298e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:06:32 +0000 2023,1633303156749639682,1633303156749639682,@ilovebrettbaty @FabrizioRomano P$G and Juventus are also farmer league clubs 😭,False,"[32, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332980018116116e+18,1633298001811611648,1.3004531828045005e+18,1300453182804500483,ilovebrettbaty,,,,False,0,0,False,False,en,en,recent,1422642024650579970,1422642024650579970,footballers who lift 💪🏽🏋🏽,football_muscIe,"Brighton, England",Collection of footballers with best bodies ⚽️,,,[],False,238,189,3,Tue Aug 03 19:34:38 +0000 2021,1805,,,False,False,5240,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1540237354606202880/udW_PLEP_normal.jpg,https://pbs.twimg.com/profile_images/1540237354606202880/udW_PLEP_normal.jpg,https://pbs.twimg.com/profile_banners/1422642024650579970/1641797491,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:03:01 +0000 2023,1633302270338113537,1633302270338113537,"A Flovatar is born! #6175 minted by juventus.
Flovatar: https://t.co/wJ1Cn6ohXd
Creator: https://t.co/RWFRPzIutO
Transaction: https://t.co/JVsszwlBIU
#Flovatar #FlovatarDroid #FlovatarCreated https://t.co/rTQLey7jzF",False,"[0, 191]","<a href=""https://not.my.url.com"" rel=""nofollow"">flovatar-bot</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1473134796289290244,1473134796289290244,C-3PFLO,C_3PFLO,,"I am C-3PFLO, Human-Flovatar Relations. I'm a protocol #FlovatarDroid that tweets #Flovatar and #Flobot created and purchased events, and sometimes nonsense.",https://t.co/jO0l5QgO0E,"[{'url': 'https://t.co/jO0l5QgO0E', 'expanded_url': 'https://flovatar.com/flovatars/629/0x16ae8f1cbfceaa9e', 'display_url': 'flovatar.com/flovatars/629/…', 'indices': [0, 23]}]",[],False,611,836,5,Tue Dec 21 03:35:19 +0000 2021,2174,,,True,False,5190,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1604137340519284736/r7g0Qv9h_normal.jpg,https://pbs.twimg.com/profile_images/1604137340519284736/r7g0Qv9h_normal.jpg,https://pbs.twimg.com/profile_banners/1473134796289290244/1652291608,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:02:33 +0000 2023,1633302154248359940,1633302154248359940,@donzia214 @juvenewslive That there's a possibility we can get our points back,False,"[25, 78]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332033358671135e+18,1633203335867113475,3037601524.0,3037601524,donzia214,,,,False,0,0,False,False,en,en,recent,1082322968854749193,1082322968854749193,JA,Juventus_Abroad,,Search for ataraxia✨,,,[],False,973,195,11,Mon Jan 07 17:07:59 +0000 2019,41628,,,True,False,34086,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1396946378434088960/YPJMaRdG_normal.jpg,https://pbs.twimg.com/profile_images/1396946378434088960/YPJMaRdG_normal.jpg,https://pbs.twimg.com/profile_banners/1082322968854749193/1674404959,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:58:50 +0000 2023,1633301220562460672,1633301220562460672,@Juventus_Brasil Addio,False,"[17, 22]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633248972851536e+18,1633248972851535872,281061700.0,281061700,Juventus_Brasil,,,,False,0,0,False,False,en,en,recent,1284598037936037890,1284598037936037890,pedro c,crzpdro,,é pouco mas é o que tem,,,[],False,19,453,0,Sat Jul 18 21:17:09 +0000 2020,5793,,,False,False,2854,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1362050587722997761/hRVlc2Qe_normal.jpg,https://pbs.twimg.com/profile_images/1362050587722997761/hRVlc2Qe_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:44:43 +0000 2023,1633297667236466689,1633297667236466689,"@sharkylammas Best performance overall in 15 months which was the great Juventus result of 2021

IMHO",False,"[14, 101]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331819196963676e+18,1633181919696367616,819518185.0,819518185,sharkylammas,,,,False,0,0,False,False,en,en,recent,2986437777,2986437777,ChelseaFC & Braves,ChelseaFCOwner,South Australia,"@chelseafc @braves Border Collies, #Racehorses dogs, gym, walking,  freedom, travel, golf, sports, music @pafc @nygiants Lived all over",,,[],False,1520,948,11,Mon Jan 19 22:31:47 +0000 2015,38125,,,True,False,17105,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1632562537798725632/PdpxiFdX_normal.jpg,https://pbs.twimg.com/profile_images/1632562537798725632/PdpxiFdX_normal.jpg,https://pbs.twimg.com/profile_banners/2986437777/1678068419,098888,000000,000000,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:37:29 +0000 2023,1633295844785963008,1633295844785963008,"@SaltyNewYorkerr Mane placing the shot 1 foot higher would've been a goal. Dammit!

I've seen some suggest that conspiracy but I think it was UEFA being incompetent.

When I learned what happened, I was reminded of 1985 European Cup Final vs Juventus - the Heysel disaster followed by 1-0 loss.😭",False,"[17, 295]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332916916910612e+18,1633291691691061265,1.3921380185810944e+18,1392138018581094400,SaltyNewYorkerr,,,,False,0,0,False,False,en,en,recent,3367125557,3367125557,"Frank Classic (X,X) (⬡,⬡) 🦇🔊",Frank_Classic_,3rd rock from the Sun,"1. I'm a cryptocurrency enthusiast.

2. While some humans are kind, many are surprisingly stupid and revel in their idiocy. Fascinating.

3. I enjoy art.",,,[],False,405,3984,9,Thu Jul 09 05:12:48 +0000 2015,97242,,,False,False,14092,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1626799247042420737/_g3GcaMc_normal.jpg,https://pbs.twimg.com/profile_images/1626799247042420737/_g3GcaMc_normal.jpg,https://pbs.twimg.com/profile_banners/3367125557/1664251158,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:29:00 +0000 2023,1633293711068000258,1633293711068000258,Manu’s Grab Bag: Cold Water #Bianconeri  #FinoAllaFine #ForzaJuve https://t.co/Gbqcn2SBdo,False,"[0, 89]","<a href=""https://socialbee.com/"" rel=""nofollow"">SocialBee</a>",,,,,,,,,False,0,0,False,False,en,en,recent,358508365,358508365,Juventus Fans,JuveNewsOnly,,Bianconeri News & Blogs. Page NOT linked to official club. #Juve #ForzaJuve #FinoAllaFine #juve120 #Juventini #Juventus #Bianconeri #JuventusFC #ForzaJuventus,,,[],False,8370,2798,61,Sat Aug 20 01:35:57 +0000 2011,6,,,False,False,55157,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/919891693939318789/jVjwaEJk_normal.jpg,https://pbs.twimg.com/profile_images/919891693939318789/jVjwaEJk_normal.jpg,https://pbs.twimg.com/profile_banners/358508365/1418775586,F5B400,000000,FFFFFF,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:23:35 +0000 2023,1633292347025813506,1633292347025813506,@paulpogba Please Paul Pogba ..  help Juventus to a top four finish... I know you can do it once you are happy with the team....  Thanks brother,False,"[11, 144]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331991140150886e+18,1633199114015088641,2491702663.0,2491702663,paulpogba,,,,False,0,0,False,False,en,en,recent,1464938526701674498,1464938526701674498,Davidavinci,Davidavinci41,,,,,[],False,4,13,0,Sun Nov 28 12:45:52 +0000 2021,356,,,False,False,188,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1568418038956916736/jU-OIXES_normal.jpg,https://pbs.twimg.com/profile_images/1568418038956916736/jU-OIXES_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:21:11 +0000 2023,1633291744304590848,1633291744304590848,"@ChampionsLeague @UEFA pls explain! are you investigating juventus and napoli for what they are doing to freiburg and frankfurt supporters? you need to step in or cancel the matches. neutral ground for both. and what happened to the ref tonight? a big mistake, you have to explain yourself.",False,"[17, 290]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332289726023025e+18,1633228972602302466,627673190.0,627673190,ChampionsLeague,,,,False,0,0,False,False,en,en,recent,1317089194431324167,1317089194431324167,sebastianmaerz87,sebastianmaerz1,,"Union Berlin, Liverpool, Warriors, Packers, F1, MotoGP etc. Happy family father with major addiction to sports",,,[],False,3,33,0,Fri Oct 16 13:05:23 +0000 2020,26,,,True,False,270,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317089510623113216/V2-JU_j1_normal.jpg,https://pbs.twimg.com/profile_images/1317089510623113216/V2-JU_j1_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:19:58 +0000 2023,1633291439164608514,1633291439164608514,"@platyhelminth_ @user768338 @avisualgame i will do the impossible and win the ucl with juventus 

             -     fake ronaldo",False,"[41, 129]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332177220906803e+18,1633217722090680320,3385033930.0,3385033930,platyhelminth_,,,,False,0,2,False,False,en,en,recent,1481431897054265345,1481431897054265345,blank,otaku68952772,,",                 ,                     ,             ,",,,[],False,15,207,0,Thu Jan 13 01:04:34 +0000 2022,3270,,,False,False,792,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630379204289368066/hGAyLHsu_normal.jpg,https://pbs.twimg.com/profile_images/1630379204289368066/hGAyLHsu_normal.jpg,https://pbs.twimg.com/profile_banners/1481431897054265345/1675004741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:16:25 +0000 2023,1633290543236038657,1633290543236038657,"Simulated Cristiano Ronaldo's career on Football Manager 2005, he would leave Manchester United aged 23, and go on to play for 3 new teams, see what happened on YouTube below

https://t.co/g702aStBFN

#Ronaldo #Cristiano #CR7 #RealMadrid #MUFC #AlNassr #Mbappe #Juventus #Juve https://t.co/dTAldLGu7d",False,"[0, 276]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1613171523912667142,1613171523912667142,Football Horizon,FootballHorizo2,,Enjoy taking a step back in time with Football Manager Challenges from years gone by,https://t.co/5Y76WPv8UI,"[{'url': 'https://t.co/5Y76WPv8UI', 'expanded_url': 'https://www.youtube.com/channel/UCj15CCJMzA0gkiF4BHMHJ-A', 'display_url': 'youtube.com/channel/UCj15C…', 'indices': [0, 23]}]",[],False,11,26,0,Wed Jan 11 13:51:23 +0000 2023,162,,,False,False,1988,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1613172846758354945/XFvg2WKv_normal.jpg,https://pbs.twimg.com/profile_images/1613172846758354945/XFvg2WKv_normal.jpg,https://pbs.twimg.com/profile_banners/1613171523912667142/1676401624,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:14:45 +0000 2023,1633290126934646785,1633290126934646785,"Lazio's Sergej Milinkovic-Savic has been identified as a potential successor for Adrien Rabiot at Juventus, writes Gazzetta dello Sport.",False,"[0, 136]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,en,en,recent,2263640102,2263640102,RumorsTransfersNews24/7 📰,rumorstransfers,"Barca treble 2009,15 🏆🏆🏆(ALW replies) ","Keep up with the latest transfer news  right here! rumours ,gossip from Euro,EFL,MLS ,South America newspapers  around the web, scout talents, quizzes 24/7📰⚽️",https://t.co/hOU5enl2gG,"[{'url': 'https://t.co/hOU5enl2gG', 'expanded_url': 'https://rumorstransfers.wordpress.com/', 'display_url': 'rumorstransfers.wordpress.com', 'indices': [0, 23]}]",[],False,5764,5119,64,Fri Dec 27 02:27:48 +0000 2013,75750,,,False,False,101116,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_banners/2263640102/1579813017,91D2FA,000000,000000,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:13:12 +0000 2023,1633289733257175044,1633289733257175044,"de ligt hows life in munich?

mattias de ligt : Juventus ruined me forced me to play closer to goal i cant play football like that",False,"[0, 130]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1532132746952417282,1532132746952417282,newmoncler,monclerburner,Pluto,fagioli stan • locatelli stan • juventino,,,[],False,40,162,0,Wed Jun 01 22:51:33 +0000 2022,3908,,,True,False,218,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628976083948261378/NiQmzEPT_normal.jpg,https://pbs.twimg.com/profile_images/1628976083948261378/NiQmzEPT_normal.jpg,https://pbs.twimg.com/profile_banners/1532132746952417282/1677213149,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:11:09 +0000 2023,1633289217362079744,1633289217362079744,"[$439.95]
[ebay] 2021-22 Topps Juventus Soccer Official Team Set 40-Set Case
Reason: Sold by Steel City Collectibles

Get the Inventory Bot app to be notified 2 minutes faster

09:09:01.0580 PM EST #Ad 

https://t.co/R7LaEfVuSa",False,"[0, 227]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">BotCollectibles</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1356684941585772545,1356684941585772545,"Bot Collectibles (Pokemon, Funko, ⚾️ cards, etc)",BotCollectibles,"Pittsburgh, PA",All posts are delayed vs the apps. Find us on the app stores. Part of the @BotInventory family. Tracking #PokemonCards #TradingCards #FunkoPop #amiibo and more.,https://t.co/BXYbnjXEVK,"[{'url': 'https://t.co/BXYbnjXEVK', 'expanded_url': 'http://shor.by/fGfL', 'display_url': 'shor.by/fGfL', 'indices': [0, 23]}]",[],False,6188,1,34,Tue Feb 02 19:24:52 +0000 2021,580,,,False,False,518745,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_banners/1356684941585772545/1613684806,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:08:51 +0000 2023,1633288640645287936,1633288640645287936,@juvesensual bro shows up for juventus dinner parties and dips,False,"[13, 62]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332308088141578e+18,1633230808814157830,1.1761516435424788e+18,1176151643542478849,juvesensual,,,,False,0,0,False,False,en,en,recent,1532132746952417282,1532132746952417282,newmoncler,monclerburner,Pluto,fagioli stan • locatelli stan • juventino,,,[],False,40,162,0,Wed Jun 01 22:51:33 +0000 2022,3908,,,True,False,218,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628976083948261378/NiQmzEPT_normal.jpg,https://pbs.twimg.com/profile_images/1628976083948261378/NiQmzEPT_normal.jpg,https://pbs.twimg.com/profile_banners/1532132746952417282/1677213149,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:03:29 +0000 2023,1633287288879816704,1633287288879816704,@05__abdoul @theMadridZone @La_SER Abdul Aziz bro think about it if Fc Barcelona  ends up losing the case and just like juventus their points are deducted then it can be related to RMFC,False,"[35, 185]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633147107128275e+18,1633147107128274954,1.5107411327492915e+18,1510741132749291521,05__abdoul,,,,False,0,0,False,False,en,en,recent,1367677176292737028,1367677176292737028,Mohammad,Mohamma51689131,,,,,[],False,0,329,0,Fri Mar 05 03:23:57 +0000 2021,1011,,,False,False,204,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:02:22 +0000 2023,1633287007597219844,1633287007597219844,"@FabrizioRomano You have been writing about Man city and juventus ""gates"", but, ive dont seen any tweet about #barcagate from you...  
This Tweets are evidentially a shame, and a distractor from that corrupt guy... and, ¿you?",False,"[16, 225]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.63312324232713e+18,1633123242327130112,330262748.0,330262748,FabrizioRomano,,,,False,0,0,False,False,en,en,recent,491050129,491050129,Octavio Toledo,octaviotoledo27,"Quintana Roo, México","A winelover! Lic. en Economía, amante del fútbol.",,,[],False,122,793,0,Mon Feb 13 06:08:22 +0000 2012,450,,,True,False,522,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1593654368007593988/6xpOCC_I_normal.jpg,https://pbs.twimg.com/profile_images/1593654368007593988/6xpOCC_I_normal.jpg,https://pbs.twimg.com/profile_banners/491050129/1367871508,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:56:58 +0000 2023,1633285648575606786,1633285648575606786,"@Karasu14 @MadarkWojo @JuveLA_SB They are overrun because of Max tactics, not because the opponents are better. Do you honestly believe these teams have better players than Juventus? You don't have to answer, I know the answer...",False,"[33, 229]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332740698053386e+18,1633274069805338625,53843335.0,53843335,Karasu14,,,,False,0,0,False,False,en,en,recent,2761357715,2761357715,YAADLYNKZ,llynkz,,"🏏⚽️WEST INDIES /JUVENTUS

Brian Lara & Leo Messi Are the greatest atleaths ever!!! 
Family, Sports, & vacation. Never personal. Love seeing people happy.",,,[],False,235,369,0,Thu Sep 04 16:30:16 +0000 2014,8695,,,True,False,6680,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156181726483406848/mCEL6pCN_normal.jpg,https://pbs.twimg.com/profile_images/1156181726483406848/mCEL6pCN_normal.jpg,https://pbs.twimg.com/profile_banners/2761357715/1558786790,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
