created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 16:53:18 +0000 2023,1633511217774960652,1633511217774960652,Great to see Delphi score her 1⃣8⃣th goal of the season for the Birmingham City Academy this afternoon in a 4-1 win over Leicester City! ⚽️🔥⚽️🔥 . Go Delphi! https://t.co/SwhxyyX4Ba,False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1263438733564616704,1263438733564616704,Coley 🇺🇦🇺🇦 He/Him/Lord/Sir,simonco48440538,,"Birmingham City women’s fan (and therefore an interest in Birmingham City mens) and Crystal Palace men’s fan. Cars, art and photography.",https://t.co/N0lSa9Nitx,"[{'url': 'https://t.co/N0lSa9Nitx', 'expanded_url': 'http://www.technicaldrive.co.uk', 'display_url': 'technicaldrive.co.uk', 'indices': [0, 23]}]",[],False,245,683,0,Thu May 21 11:57:40 +0000 2020,2148,,,True,False,2668,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_banners/1263438733564616704/1644002252,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:56 +0000 2023,1633511127475789845,1633511127475789845,"@codysgh @CalArsenal @kwesibeats sure. my dude mentioned leicester referrencing the first tweet, about ""being leader due to city fallout"", because that was the case when leicester won. Does that make sense",False,"[33, 205]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335099866546504e+18,1633509986654650368,1.0210757917513277e+18,1021075791751327745,codysgh,,,,,False,0,0,False,False,,en,en,recent,48025808,48025808,leonardo curtindo o verão,lnrdmrn,"30°03'56.00""S 51°14'09.00""W",leonardo moreno | the only true death is to never live,,,[],False,326,553,4,Wed Jun 17 16:49:31 +0000 2009,2146,,,True,False,129326,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1587648307228250114/iEmlEVak_normal.jpg,https://pbs.twimg.com/profile_images/1587648307228250114/iEmlEVak_normal.jpg,https://pbs.twimg.com/profile_banners/48025808/1531869097,010105,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:40 +0000 2023,1633510556341608467,1633510556341608467,Elsewhere Aston Villa remain level on points at the top of the Northern Section with a 3-2 home win against Manchester City. Third-placed Durham won 2-1 away at Everton. Birmingham City climb a place to fourth after recording a 4-1 home win against Leicester City.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335067061215232e+18,1633506706121523200,46643528.0,46643528,sjbakes,,,,,False,0,0,False,False,,en,en,recent,46643528,46643528,Steve Baker,sjbakes,Timperley,Freelance Graphic Designer. South Manchester. MUFC / MUWFC / Alty FC,,,[],False,1137,4998,2,Fri Jun 12 12:48:13 +0000 2009,18317,,,True,False,3124,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_banners/46643528/1455193641,2FC2EF,FFFFFF,252429,666666,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:18 +0000 2023,1633509207214534656,1633509207214534656,Principal Accountant - Hybrid working - Home and Leicester City Offices - Leicester City Council https://t.co/iJZJIocuL9,False,"[0, 120]","<a href=""http://www.madgex.com"" rel=""nofollow"">Madgex Twitter Tweeter</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,36041853,36041853,Public Finance Jobs,pfjobs,United Kingdom,Public Finance will help you search for top quality Public Sector Finance and Accountancy jobs. Start looking for your next career move now.,http://t.co/KqmVQjA2rG,"[{'url': 'http://t.co/KqmVQjA2rG', 'expanded_url': 'http://www.pfjobs.co.uk/', 'display_url': 'pfjobs.co.uk', 'indices': [0, 22]}]",[],False,1761,1300,37,Tue Apr 28 11:26:08 +0000 2009,4,,,False,False,14401,,False,False,False,E3003B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/714769992558985216/XwTW2Z7e_normal.jpg,https://pbs.twimg.com/profile_images/714769992558985216/XwTW2Z7e_normal.jpg,https://pbs.twimg.com/profile_banners/36041853/1459249399,B4001D,FFFFFF,EFE0D7,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:43:56 +0000 2023,1633508861033234433,1633508861033234433,"@LDNFootbalI We always do good business with Leicester city apart from Danny

Kudos to him",False,"[13, 90]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334117527915356e+18,1633411752791535618,1926045878.0,1926045878,LDNFootbalI,,,,,False,0,0,False,False,,en,en,recent,3230102356,3230102356,BlaqNation,SpydoNation,Abuja,Always Obi-Dient,,,[],False,66,195,0,Sun May 03 08:05:15 +0000 2015,6183,,,True,False,1474,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1630213595857297410/exyNplqx_normal.jpg,https://pbs.twimg.com/profile_images/1630213595857297410/exyNplqx_normal.jpg,https://pbs.twimg.com/profile_banners/3230102356/1645464409,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:38:44 +0000 2023,1633507553547100185,1633507553547100185,@TheAnfieldBuzz @jac_talbot Kelleher needs to go for his own development. Leicester City would be a good move for him. Hopefully he’ll come back in a couple of seasons and challenge for No 1 jersey 🙌,False,"[28, 199]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6334516331734712e+18,1633451633173471233,9.508813085106954e+17,950881308510695430,TheAnfieldBuzz,,,,,False,0,0,False,False,,en,en,recent,23433006,23433006,Michael Lavelle,michaeldlavelle,Dublin,"Proud to work @Oracle, Dad to 2 boys, Husband, Tech lover and @LFC. All views are my own and not of my employer. 🇮🇪 🇺🇦",,,[],False,284,2633,13,Mon Mar 09 13:14:53 +0000 2009,6078,,,True,False,7439,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2585266394/bz4m15jjvfeyul87l3tg_normal.jpeg,https://pbs.twimg.com/profile_images/2585266394/bz4m15jjvfeyul87l3tg_normal.jpeg,https://pbs.twimg.com/profile_banners/23433006/1595457751,4A913C,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:26:01 +0000 2023,1633504351925723136,1633504351925723136,@GaryLineker YOU BRING SHAME on the majority of Leicester City Supporters or are we all Nazis who think differently  to a virtue signalling Communist loving big eared T***,False,"[13, 171]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334244706637332e+18,1633424470663733248,471287735.0,471287735,GaryLineker,,,,,False,0,0,False,False,,en,en,recent,1429873776339169280,1429873776339169280,Barbara Cross,Barbara26011171,,,,,[],False,39,96,2,Mon Aug 23 18:33:47 +0000 2021,13866,,,False,False,1200,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:43 +0000 2023,1633503774076547073,1633503774076547073,Everything links back to Rome. Why can’t Leicester City Council repair pot holes to last like the Romans? https://t.co/rsAkFvDxtD,False,"[0, 105]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1014890338559852549,1014890338559852549,ManishThanki,Manish_S_Thanki,"Leicester, England",Embrace change,,,[],False,13,8,0,Thu Jul 05 15:14:47 +0000 2018,69,,,True,False,886,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1562762467817803776/YuLB5APc_normal.jpg,https://pbs.twimg.com/profile_images/1562762467817803776/YuLB5APc_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:25 +0000 2023,1633503698818154496,1633503698818154496,"Leicester City v Chelsea Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Saturday's game at the King Power Stadium

#LCFC #CFC 
https://t.co/PcsCbdoSTF https://t.co/sNvyNQtPqA",False,"[0, 180]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:30 +0000 2023,1633503467145764872,1633503467145764872,"Our WSL Academy side beat Leicester City 4-1 this afternoon. 🙌

Delphi Cole, Riya Mannu, Louanne Worsey and Freya Clark were all on the scoresheet. 👏 https://t.co/cjiQ8yT0MR",False,"[0, 149]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,23,False,False,False,en,en,recent,237775599,237775599,Birmingham City Women,BCFCWomen,St. Andrew’s ,Official Twitter account of #BCFC Women.,https://t.co/kRouJJYMHv,"[{'url': 'https://t.co/kRouJJYMHv', 'expanded_url': 'https://linktr.ee/bcfcwomen', 'display_url': 'linktr.ee/bcfcwomen', 'indices': [0, 23]}]",[],False,40736,46,377,Thu Jan 13 16:11:52 +0000 2011,5559,,,True,True,22000,,False,False,False,2F22E6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1592091371455873024/XxsSHLaL_normal.jpg,https://pbs.twimg.com/profile_images/1592091371455873024/XxsSHLaL_normal.jpg,https://pbs.twimg.com/profile_banners/237775599/1678116198,2929E3,461DEB,BAD2F5,3B25E6,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:20:08 +0000 2023,1633502872137605133,1633502872137605133,"GOAL is coming to Austin for #SXSW and we're hosting a watch party with @ChelseaFCAustin for the Blues' match against Leicester City.

We've got GOAL merch to give away and a signed shirt from @ChelseaFC!

📍 @HaymakerAustin
🕙 9am CST

Get your tickets now 👇 https://t.co/HraJw61f63",False,"[0, 257]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,11,191,False,False,False,en,en,recent,26809005,26809005,GOAL,goal,Everywhere,This Is Everything.,https://t.co/wP33wJCanv,"[{'url': 'https://t.co/wP33wJCanv', 'expanded_url': 'http://www.goal.com/en', 'display_url': 'goal.com/en', 'indices': [0, 23]}]",[],False,7974004,455,9371,Thu Mar 26 18:14:06 +0000 2009,4829,,,True,True,312511,,False,False,False,081F2C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1457725055178260480/_GOnheh__normal.jpg,https://pbs.twimg.com/profile_images/1457725055178260480/_GOnheh__normal.jpg,https://pbs.twimg.com/profile_banners/26809005/1674919257,00AC77,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:19:18 +0000 2023,1633502663978676224,1633502663978676224,"Watch Chelsea vs Leicester City Live Stream Free, TV channel,start time, Team News and how to watch Premier League Match stream on 11 March 2023,15:00 UTC at King Power Stadium.
#LEICHE #EPL https://t.co/fU2Dp7th4n",False,"[0, 190]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,1520830928591155202,1520830928591155202,Chelsea vs Leicester City Live Stream,fcchelseauktv,Watch Link Here🗣️👉,"Chelsea vs Leicester City Live Stream, HD TV coverage match online from here. Watch Chelsea all matches live streaming on your Pc, Mobile or TV. #Chelsea",,,[],False,4648,3,3,Sun May 01 18:22:15 +0000 2022,94,,,False,False,99,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1604559120689860608/NAvZra7o_normal.jpg,https://pbs.twimg.com/profile_images/1604559120689860608/NAvZra7o_normal.jpg,https://pbs.twimg.com/profile_banners/1520830928591155202/1671391681,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:18:55 +0000 2023,1633502565777264640,1633502565777264640,@GaryLineker Unfortunately we need good folk like you to stick your head above the parapet as the voice of the ordinary person in the street is silence by the noise of the right wing MSM. sorry that you have to do it and I'm sure you would rather be gloating about Tottenham and Leicester City,False,"[13, 293]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.63343252870178e+18,1633432528701779968,471287735.0,471287735,GaryLineker,,,,,False,0,0,False,False,,en,en,recent,66326598,66326598,Tim Joyce,papahowa,Probus,looking for some truth somewhere. Music helps and the Arts. #FBEU  #FBPE #JohnsonOut til he's gone(he has Hurray).#GTTO #FollowBackFriday,,,[],False,849,1765,0,Mon Aug 17 10:34:48 +0000 2009,7761,,,True,False,4921,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332332164545974273/pJxKKJdH_normal.jpg,https://pbs.twimg.com/profile_images/1332332164545974273/pJxKKJdH_normal.jpg,https://pbs.twimg.com/profile_banners/66326598/1606487717,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:18:30 +0000 2023,1633502461712277504,1633502461712277504,"Leicester City v Chelsea All-Time Premier League Match Records ahead of Saturday's game at the King Power Stadium 

Leicester Wins: 6
Draws: 10
Chelsea Wins: 17
Goals Scored: Leicester 33-58 Chelsea  

#LCFC #CFC 
https://t.co/chU8JvgkBr https://t.co/Q0avi64jN6",False,"[0, 237]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:18:00 +0000 2023,1633502334545440769,1633502334545440769,"A 2-0 win over Borussia Dortmund saw them make it to the quarter final of the competition. 
https://t.co/QxbYJLy4WR",False,"[0, 115]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,1547971206,1547971206,LCFC Live,LiveLCFC,Leicester,"Leicester City news, views and transfer rumours brought to you by Leicestershire Live. Sign up for our newsletter below:",https://t.co/HxSKt71auR,"[{'url': 'https://t.co/HxSKt71auR', 'expanded_url': 'https://www.leicestermercury.co.uk/newsletter-preference-centre/', 'display_url': 'leicestermercury.co.uk/newsletter-pre…', 'indices': [0, 23]}]",[],False,22590,271,192,Wed Jun 26 11:40:32 +0000 2013,244,,,False,True,74331,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1560211871818518528/zarz7fa0_normal.jpg,https://pbs.twimg.com/profile_images/1560211871818518528/zarz7fa0_normal.jpg,https://pbs.twimg.com/profile_banners/1547971206/1621113199,1B95E0,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:17:34 +0000 2023,1633502228404391937,1633502228404391937,Latest Chelsea injury news as three players miss Leicester City as Reece James update expected: https://t.co/9QVwE6SjHv,False,"[0, 119]","<a href=""http://www.footballnewsapps.co.uk"" rel=""nofollow"">Chelsea News App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,887488014,887488014,#KTBFFH,ChelseaNewsApp,Stamford Bridge,Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),,,"[{'url': 'https://t.co/DFNVJmJVmv', 'expanded_url': 'http://tiny.cc/8ne69y', 'display_url': 'tiny.cc/8ne69y', 'indices': [22, 45]}, {'url': 'https://t.co/M3b3Y84pqU', 'expanded_url': 'http://tiny.cc/0pe69y', 'display_url': 'tiny.cc/0pe69y', 'indices': [56, 79]}]",False,826,278,3,Wed Oct 17 20:19:35 +0000 2012,16,,,False,False,112504,,False,False,False,082E6F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1154007934608773121/7IKYqLiZ_normal.png,https://pbs.twimg.com/profile_images/1154007934608773121/7IKYqLiZ_normal.png,https://pbs.twimg.com/profile_banners/887488014/1563971930,0084B4,000000,DDEEF6,333333,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:11:14 +0000 2023,1633500633436422145,1633500633436422145,"Until now, Leicester Cathedral, originally one of the city’s parish churches, was thought to date back to the 10th or 11th century. But a new archaeological discovery has raised the possibility that it may be much older

https://t.co/Wy09Wo6rZO",False,"[0, 244]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,20426939,20426939,Church Times,ChurchTimes,London,"News, comment, features, interviews, book reviews and more since 1863. For church and charity jobs see @ChurchjobsCT. https://t.co/YWVCulCeTx",https://t.co/xFOULRpICv,"[{'url': 'https://t.co/xFOULRpICv', 'expanded_url': 'https://www.churchtimes.co.uk/', 'display_url': 'churchtimes.co.uk', 'indices': [0, 23]}]","[{'url': 'https://t.co/YWVCulCeTx', 'expanded_url': 'http://churchtimes.co.uk/podcast', 'display_url': 'churchtimes.co.uk/podcast', 'indices': [118, 141]}]",False,47997,1035,558,Mon Feb 09 10:25:18 +0000 2009,1505,,,False,False,104064,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/454292641761357825/BKSn0S6P_normal.jpeg,https://pbs.twimg.com/profile_images/454292641761357825/BKSn0S6P_normal.jpeg,https://pbs.twimg.com/profile_banners/20426939/1521651092,1F98C7,000000,DAECF4,663B12,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:10:15 +0000 2023,1633500385573838850,1633500385573838850,"Arsenal are acting ling they have been a top club winning trophies season after season😹😹little do they know,,,,they are Red Leicester city",False,"[0, 138]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,3,False,False,,en,en,recent,885509424588234752,885509424588234752,BIG MULLAH🌴⚓️,jinakubwa001,"Nairobi, Kenya",construction engineer,https://t.co/3TosVHS01d,"[{'url': 'https://t.co/3TosVHS01d', 'expanded_url': 'http://www.mullahswear.com', 'display_url': 'mullahswear.com', 'indices': [0, 23]}]",[],False,4605,4814,1,Thu Jul 13 14:41:13 +0000 2017,21004,,,True,False,16933,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632757783354384385/tBgyU8ww_normal.jpg,https://pbs.twimg.com/profile_images/1632757783354384385/tBgyU8ww_normal.jpg,https://pbs.twimg.com/profile_banners/885509424588234752/1670147599,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
